Price;Neighbourhood Cleansed;City;Country;Property Type;Room Type;Accommodates;Bathrooms;Security Deposit;Cleaning Fee;Guests Included;Extra People;Amenities;Availability 365;Review Scores Rating
68.0;Sol;Madrid;Spain;Apartment;Entire home/apt;4;1.0;;;1;0;0;336;83.0
85.0;San Isidro;Madrid;Spain;Loft;Entire home/apt;4;1.0;350.0;50.0;5;0;0;327;95.0
100.0;Castillejos;Madrid;Spain;Apartment;Entire home/apt;2;1.0;300.0;;1;0;0;0;
25.0;Embajadores;Madrid;Spain;Apartment;Private room;1;1.0;90.0;;1;0;0;326;95.0
79.0;Embajadores;Madrid;Spain;Condominium;Entire home/apt;4;1.0;;;1;0;0;350;93.0
57.0;Timón;Madrid;Spain;Apartment;Entire home/apt;4;1.0;100.0;15.0;3;10;0;95;93.0
20.0;Acacias;Madrid;Spain;Apartment;Private room;2;1.0;;;1;0;0;0;94.0
49.0;Aeropuerto;Madrid;Spain;House;Private room;5;3.0;100.0;15.0;1;20;0;344;96.0
115.0;Palos de Moguer;Madrid;Spain;Apartment;Entire home/apt;7;1.0;100.0;25.0;4;10;0;147;93.0
65.0;Palos de Moguer;Madrid;Spain;Apartment;Entire home/apt;2;1.0;100.0;;1;0;0;333;100.0
60.0;Universidad;Madrid;Spain;Apartment;Entire home/apt;4;1.0;100.0;20.0;2;15;0;315;94.0
65.0;Embajadores;Madrid;Spain;Apartment;Entire home/apt;4;1.0;;17.0;2;10;0;303;91.0
32.0;Justicia;Madrid;Spain;Apartment;Private room;2;1.0;;5.0;1;0;0;30;100.0
80.0;Universidad;Madrid;Spain;Apartment;Entire home/apt;4;1.0;80.0;30.0;2;9;0;305;94.0
62.0;Justicia;Madrid;Spain;Apartment;Entire home/apt;4;1.0;150.0;5.0;2;0;0;87;90.0
50.0;Embajadores;Madrid;Spain;Apartment;Entire home/apt;1;1.0;;;1;0;0;165;85.0
55.0;Hispanoamérica;Madrid;Spain;Apartment;Entire home/apt;2;1.0;;30.0;2;0;0;223;100.0
49.0;Sol;Madrid;Spain;Apartment;Entire home/apt;4;1.0;100.0;30.0;1;10;0;139;91.0
32.0;Embajadores;Madrid;Spain;Apartment;Private room;2;1.0;;10.0;2;15;0;339;98.0
24.0;Ambroz;Madrid;Spain;Chalet;Private room;2;2.0;;;2;0;0;32;100.0
27.0;San Diego;Madrid;Spain;House;Private room;1;1.0;;;1;12;0;284;93.0
120.0;Cármenes;Madrid;Spain;House;Entire home/apt;5;1.0;;;4;20;1;329;
20.0;Acacias;Madrid;Spain;Apartment;Private room;2;1.0;;5.0;1;15;0;28;96.0
140.0;Palacio;Madrid;Spain;Apartment;Entire home/apt;6;2.0;200.0;50.0;4;30;0;323;91.0
35.0;Sol;Madrid;Spain;Apartment;Private room;1;1.0;;5.0;1;0;0;318;97.0
40.0;Vinateros;Madrid;Spain;Apartment;Private room;2;1.0;100.0;15.0;1;0;0;180;
29.0;Arapiles;Madrid;Spain;Apartment;Private room;1;1.0;;;1;0;0;139;97.0
59.0;Embajadores;Madrid;Spain;Apartment;Entire home/apt;4;1.0;150.0;25.0;2;10;0;300;96.0
200.0;Justicia;Madrid;Spain;Apartment;Entire home/apt;4;2.0;;;1;0;0;0;
60.0;Palacio;Madrid;Spain;Apartment;Entire home/apt;4;1.0;150.0;30.0;2;15;0;125;100.0
22.0;Embajadores;Madrid;Spain;Apartment;Private room;1;1.0;;8.0;1;0;0;76;87.0
32.0;Almenara;Madrid;Spain;Apartment;Private room;2;2.0;;;1;16;0;308;85.0
37.0;Sol;Madrid;Spain;Apartment;Private room;2;2.0;;10.0;1;0;0;309;88.0
70.0;Pueblo Nuevo;Madrid;Spain;Apartment;Entire home/apt;5;1.0;;;1;0;0;278;87.0
55.0;Embajadores;Madrid;Spain;Apartment;Entire home/apt;3;;;12.0;2;10;0;329;86.0
90.0;Justicia;Madrid;Spain;Apartment;Entire home/apt;2;1.0;300.0;40.0;1;10;0;363;100.0
403.0;Peñagrande;马德里;Spain;House;Private room;2;1.0;;;1;0;0;364;
60.0;Concepción;Madrid;Spain;Apartment;Entire home/apt;2;1.0;250.0;20.0;1;15;1;365;
150.0;Justicia;Madrid;Spain;Apartment;Entire home/apt;6;2.0;400.0;50.0;4;15;0;255;97.0
35.0;I Centro Storico;Rome;Italy;Apartment;Private room;2;1.0;100.0;;2;0;0;169;95.0
17.0;Pacífico;Madrid;Spain;Apartment;Private room;1;1.0;;;1;0;0;143;79.0
25.0;Universidad;Madrid;Spain;Condominium;Entire home/apt;2;1.0;90.0;10.0;1;0;0;67;77.0
32.0;Argüelles;Madrid;Spain;Apartment;Private room;2;1.0;;6.0;1;0;0;114;97.0
59.0;Embajadores;Madrid;Spain;Apartment;Entire home/apt;2;1.0;;;1;0;0;0;
150.0;Sol;Madrid;Spain;Apartment;Entire home/apt;4;1.0;150.0;30.0;1;0;0;362;
45.0;San Juan Bautista;Madrid;Spain;Apartment;Entire home/apt;3;1.0;;20.0;2;8;0;271;96.0
90.0;Cortes;Madrid;Spain;Apartment;Entire home/apt;4;1.0;;;1;0;0;339;
40.0;Universidad;Madrid;Spain;Apartment;Private room;2;1.0;;10.0;1;0;0;6;
130.0;Sol;Madrid;Spain;Apartment;Entire home/apt;6;2.0;300.0;40.0;4;20;0;177;94.0
16.0;San Isidro;Madrid;Spain;Apartment;Private room;1;1.0;;;1;0;0;347;89.0
120.0;Cortes;Madrid;Spain;Apartment;Entire home/apt;7;2.0;150.0;39.0;4;18;0;252;95.0
80.0;Ibiza;Madrid;Spain;Apartment;Private room;2;1.0;;19.0;2;50;0;364;
11.0;Palomeras Sureste;Madrid;Spain;Condominium;Private room;2;1.0;94.0;5.0;1;11;0;27;
79.0;Castillejos;Madrid;Spain;Apartment;Private room;2;1.0;;;1;0;0;275;100.0
25.0;Mirasierra;Madrid;Spain;Apartment;Private room;1;1.0;;;1;0;0;365;
80.0;Universidad;Madrid;Spain;Loft;Entire home/apt;4;1.0;;;2;20;0;38;95.0
23.0;Trafalgar;Madrid;Spain;Apartment;Private room;9;2.0;100.0;20.0;1;22;0;365;91.0
43.0;Embajadores;Madrid;Spain;Guesthouse;Private room;2;1.0;;;1;0;0;355;
50.0;Quintana;Madrid;Spain;Apartment;Entire home/apt;5;1.0;120.0;15.0;2;10;0;21;94.0
32.0;Embajadores;Madrid;Spain;Apartment;Private room;1;2.0;200.0;30.0;1;0;0;311;
144.0;Cortes;Madrid;Spain;Apartment;Entire home/apt;3;2.0;;77.0;4;17;0;223;100.0
18.0;Comillas;Madrid;Spain;House;Private room;1;1.0;;;1;5;0;90;95.0
35.0;Palos de Moguer;Madrid;Spain;Apartment;Entire home/apt;2;1.0;200.0;30.0;2;15;0;303;96.0
40.0;Rios Rosas;Madrid;Spain;Apartment;Private room;2;1.0;;;1;0;0;0;
20.0;Puerta Bonita;Madrid;Spain;House;Private room;1;1.0;;;1;0;0;97;98.0
75.0;Universidad;Madrid;Spain;Apartment;Entire home/apt;4;1.0;200.0;35.0;3;5;0;316;95.0
21.0;Palomeras Sureste;Madrid;Spain;Apartment;Private room;2;1.0;;5.0;2;10;0;192;100.0
17.0;Lucero;Madrid;Spain;Apartment;Private room;2;1.0;;;1;0;0;241;88.0
21.0;Justicia;Madrid;Spain;Apartment;Private room;2;1.0;;5.0;1;0;0;0;93.0
19.0;Ventas;Madrid;Spain;House;Private room;2;1.0;;;1;10;0;124;94.0
75.0;Cortes;Madrid;Spain;Apartment;Entire home/apt;6;1.0;100.0;30.0;4;10;0;266;93.0
49.0;Waverley;Bondi;Australia;Apartment;Private room;2;1.0;;;1;0;0;0;
54.0;Justicia;Madrid;Spain;Apartment;Entire home/apt;2;1.0;;20.0;1;0;0;301;89.0
