Price;Neighbourhood Cleansed;City;Country;Property Type;Room Type;Accommodates;Bathrooms;Security Deposit;Cleaning Fee;Guests Included;Extra People;Amenities;Availability 365;Review Scores Rating
55.0;Vista Alegre;Madrid;Spain;Apartment;Entire home/apt;4;2.0;250.0;30.0;3;15;0;250;97.0
95.0;Sol;Madrid;Spain;Apartment;Entire home/apt;6;1.0;200.0;40.0;2;12;0;288;94.0
79.0;Justicia;Madrid;Spain;Apartment;Entire home/apt;2;1.0;;;1;5;0;82;
54.0;Universidad;Madrid;Spain;Apartment;Entire home/apt;3;1.0;90.0;20.0;2;12;0;281;94.0
50.0;Palacio;Madrid;Spain;Bed & Breakfast;Private room;2;2.0;;;1;0;0;319;91.0
130.0;Embajadores;Madrid;Spain;Apartment;Entire home/apt;7;2.0;300.0;30.0;4;17;0;301;85.0
50.0;Vista Alegre;Madrid;Spain;Apartment;Private room;4;1.0;;;1;0;0;311;
45.0;Castillejos;Madrid;Spain;Apartment;Entire home/apt;3;1.0;100.0;15.0;2;0;0;322;100.0
78.0;Recoletos;Madrid;Spain;Apartment;Entire home/apt;4;1.0;299.0;49.0;2;19;0;313;98.0
120.0;Castro/Upper Market;San Francisco;United States;Apartment;Entire home/apt;2;1.0;200.0;50.0;2;50;0;104;
80.0;Jerónimos;Madrid;Spain;Apartment;Entire home/apt;6;1.0;200.0;;4;20;0;206;96.0
75.0;Palma de Mallorca;Palma;Spain;Apartment;Entire home/apt;3;1.0;100.0;45.0;2;15;0;351;83.0
150.0;Hispanoamérica;Madrid;Spain;Apartment;Entire home/apt;4;2.0;;100.0;1;0;0;0;
66.0;Embajadores;Madrid;Spain;Apartment;Entire home/apt;2;1.0;;;1;0;0;328;80.0
32.0;Almendrales;Madrid;Spain;Serviced apartment;Entire home/apt;2;1.0;;;1;5;0;229;87.0
95.0;San Isidro;Madrid;Spain;Apartment;Entire home/apt;6;1.0;200.0;60.0;2;10;0;309;95.0
226.0;Sant Joan;Sant Joan;Spain;House;Entire home/apt;6;4.0;;;1;0;1;102;
21.0;Embajadores;Madrid;Spain;Apartment;Private room;1;1.0;;;1;0;0;19;
40.0;Recoletos;Madrid;Spain;Bed & Breakfast;Private room;1;1.0;;;1;0;0;0;
85.0;Palacio;Madrid;Spain;Apartment;Entire home/apt;6;1.0;200.0;50.0;1;0;0;187;94.0
57.0;Rios Rosas;Madrid;Spain;Apartment;Entire home/apt;2;1.0;;45.0;2;10;0;188;98.0
89.0;Sol;Madrid;Spain;Apartment;Entire home/apt;4;2.0;150.0;30.0;2;12;0;274;67.0
45.0;Justicia;Madrid;Spain;Apartment;Entire home/apt;4;1.0;100.0;20.0;2;18;0;294;87.0
60.0;Justicia;Madrid;Spain;Apartment;Entire home/apt;3;1.0;;;1;0;0;119;87.0
49.0;Palacio;Madrid;Spain;Apartment;Entire home/apt;2;1.0;90.0;15.0;1;0;0;281;85.0
39.0;Dublin City;Clongriffin;Ireland;House;Private room;2;1.5;150.0;;1;18;0;5;96.0
40.0;Cortes;Madrid;Spain;Apartment;Entire home/apt;2;1.0;75.0;30.0;1;0;0;328;81.0
50.0;Sol;Madrid;Spain;Apartment;Entire home/apt;4;1.0;;;2;25;0;233;89.0
60.0;Cuatro Caminos;Madrid;Spain;Apartment;Entire home/apt;2;1.0;;20.0;1;0;0;335;90.0
30.0;Palacio;Madrid;Spain;Apartment;Private room;2;1.0;;9.0;1;0;0;290;95.0
70.0;Universidad;Madrid;Spain;Apartment;Entire home/apt;2;1.0;100.0;20.0;1;0;0;0;88.0
200.0;Embajadores;Madrid;Spain;Apartment;Entire home/apt;16;3.0;300.0;60.0;9;20;0;209;98.0
75.0;Sol;Madrid;Spain;Apartment;Private room;2;1.0;;30.0;1;0;0;240;96.0
25.0;Palacio;Madrid;Spain;House;Private room;2;1.0;;;1;20;0;365;90.0
23.0;Adelfas;Madrid;Spain;Apartment;Private room;2;1.0;;5.0;1;10;0;63;93.0
68.0;Embajadores;Madrid;Spain;Apartment;Entire home/apt;2;1.0;200.0;16.0;2;15;0;301;93.0
69.0;Rios Rosas;Madrid;Spain;House;Entire home/apt;4;2.0;;;1;0;0;121;
62.0;Embajadores;Madrid;Spain;Apartment;Entire home/apt;4;1.0;;30.0;2;10;0;265;96.0
65.0;Cortes;Madrid;Spain;Apartment;Entire home/apt;2;1.0;150.0;;1;0;0;84;88.0
40.0;Universidad;Madrid;Spain;Apartment;Private room;2;1.0;;5.0;2;10;0;341;96.0
50.0;Cuatro Caminos;Madrid;Spain;Apartment;Entire home/apt;4;1.0;150.0;;1;0;0;123;80.0
78.0;Embajadores;Madrid;Spain;Condominium;Entire home/apt;4;1.0;100.0;30.0;2;25;0;48;98.0
76.0;Cortes;Madrid;Spain;Apartment;Entire home/apt;6;1.0;;60.0;2;15;0;302;93.0
58.0;Embajadores;Madrid;Spain;Apartment;Entire home/apt;4;1.0;120.0;35.0;2;10;0;123;89.0
169.0;la Dreta de l'Eixample;Barcelona;Spain;Apartment;Entire home/apt;8;2.0;250.0;79.0;2;39;0;322;91.0
135.0;Argüelles;Madrid;Spain;Apartment;Entire home/apt;4;1.0;;;2;20;0;277;80.0
59.0;Cortes;Madrid;Spain;Apartment;Entire home/apt;4;1.0;100.0;19.0;2;19;0;295;97.0
85.0;Palacio;Madrid;Spain;Apartment;Entire home/apt;7;2.0;200.0;40.0;2;10;0;33;98.0
40.0;Justicia;Madrid;Spain;Apartment;Private room;2;1.0;100.0;5.0;1;0;0;40;100.0
40.0;Justicia;Madrid;Spain;Bed & Breakfast;Private room;8;2.5;100.0;20.0;1;25;0;134;100.0
19.0;Guindalera;Madrid;Spain;Apartment;Private room;2;2.0;;;1;17;0;344;88.0
340.0;Son Servera;Costa dels Pins;Spain;House;Entire home/apt;9;3.0;;;1;0;1;112;
73.0;Trafalgar;Madrid;Spain;Apartment;Entire home/apt;5;2.0;100.0;25.0;2;15;0;167;95.0
55.0;Ealing;London;United Kingdom;Apartment;Entire home/apt;2;1.0;;10.0;1;0;0;6;85.0
19.0;Prosperidad;Madrid;Spain;Apartment;Private room;2;1.0;100.0;10.0;1;0;0;227;80.0
179.0;Justicia;Madrid;Spain;Apartment;Entire home/apt;7;2.0;;30.0;6;15;0;149;93.0
75.0;Lista;Madrid;Spain;Apartment;Private room;3;1.0;150.0;15.0;1;0;0;359;86.0
71.0;Adelfas;Madrid;Spain;Apartment;Entire home/apt;4;1.0;150.0;;1;0;0;243;100.0
39.0;Justicia;Madrid;Spain;Apartment;Private room;2;1.0;;;1;8;0;91;
80.0;Ibiza;Madrid;Spain;Apartment;Entire home/apt;2;1.0;;;1;0;0;0;
18.0;Campamento;Madrid;Spain;Apartment;Private room;3;1.0;;;1;15;0;168;85.0
125.0;Justicia;Madrid;Spain;Apartment;Entire home/apt;6;2.0;;30.0;1;0;0;246;93.0
70.0;Cuatro Caminos;Madrid;Spain;Apartment;Entire home/apt;3;1.0;450.0;15.0;2;15;0;72;94.0
26.0;Cortes;Madrid;Spain;Apartment;Private room;2;1.0;;;1;0;0;28;93.0
18.0;San Isidro;Madrid;Spain;Other;Private room;2;2.0;200.0;20.0;1;40;0;349;98.0
50.0;Universidad;Madrid;Spain;Apartment;Entire home/apt;3;1.0;;;1;0;0;0;100.0
26.0;Palma de Mallorca;Palma;Spain;House;Private room;2;1.0;;;1;10;0;365;87.0
110.0;Prosperidad;Madrid;Spain;Apartment;Entire home/apt;3;1.0;500.0;80.0;1;0;0;323;100.0
22.0;Simancas;Madrid;Spain;Apartment;Private room;2;1.0;;;1;0;0;70;95.0
37.0;Castellana;Madrid;Spain;Apartment;Entire home/apt;1;1.0;100.0;10.0;1;0;0;56;95.0
59.0;Palacio;Madrid;Spain;Apartment;Entire home/apt;6;1.0;100.0;19.0;2;19;0;119;92.0
120.0;Pueblo Nuevo;Madrid;Spain;House;Entire home/apt;6;3.0;100.0;25.0;1;0;0;168;
31.0;Cortes;Madrid;Spain;House;Private room;1;2.0;290.0;39.0;1;19;0;346;94.0
60.0;Imperial;Madrid;Spain;Apartment;Entire home/apt;3;1.0;100.0;10.0;1;0;0;89;
20.0;Palos de Moguer;Madrid;Spain;Apartment;Private room;2;1.0;;5.0;1;10;0;336;95.0
34.0;Embajadores;Madrid;Spain;Loft;Entire home/apt;2;1.0;150.0;35.0;1;0;0;105;84.0
180.0;Algaida;Algaida;Spain;Apartment;Entire home/apt;2;;;;1;40;0;365;100.0
76.0;Universidad;Madrid;Spain;Apartment;Entire home/apt;4;1.0;140.0;30.0;2;14;0;114;94.0
60.0;Universidad;Madrid;Spain;Apartment;Entire home/apt;2;1.0;;25.0;2;10;0;321;95.0
27.0;Pacífico;Madrid;Spain;Apartment;Private room;1;3.0;100.0;5.0;1;0;0;126;
49.0;Ventas;Madrid;Spain;Apartment;Entire home/apt;4;1.0;;10.0;1;0;0;256;
10.0;Embajadores;Madrid;Spain;Apartment;Private room;1;1.0;;;1;0;0;0;
25.0;Lista;Madrid;Spain;Apartment;Private room;2;1.0;;;1;9;0;0;90.0
55.0;Felanitx;Cala Ferrera;Spain;Apartment;Entire home/apt;4;1.0;;30.0;1;0;0;213;87.0
50.0;Embajadores;Madrid;Spain;Apartment;Private room;2;1.0;;10.0;1;0;0;342;87.0
99.0;Sol;Madrid;Spain;Apartment;Entire home/apt;3;1.0;300.0;30.0;3;15;0;323;96.0
60.0;Palacio;Madrid;Spain;Apartment;Entire home/apt;4;1.0;;30.0;1;0;0;0;90.0
50.0;Embajadores;Madrid;Spain;Apartment;Entire home/apt;2;1.0;200.0;19.0;1;12;0;314;91.0
25.0;Pinar del Rey;Madrid;Spain;Apartment;Private room;2;1.0;;;1;0;0;335;77.0
15.0;Vista Alegre;Madrid;Spain;House;Private room;2;2.0;;;1;0;0;0;
43.0;Justicia;Madrid;Spain;Apartment;Entire home/apt;2;1.0;;25.0;1;0;0;33;89.0
20.0;Pilar;Madrid;Spain;Apartment;Private room;2;1.0;;;1;0;0;67;
65.0;Palacio;Madrid;Spain;Apartment;Entire home/apt;4;1.0;300.0;30.0;2;10;0;336;93.0
69.0;Goya;Madrid;Spain;Apartment;Entire home/apt;4;1.0;;;1;0;0;107;91.0
60.0;Universidad;Madrid;Spain;Apartment;Entire home/apt;2;1.0;200.0;30.0;1;0;0;92;91.0
58.0;Cortes;Madrid;Spain;Apartment;Entire home/apt;3;1.0;;24.0;2;12;0;300;98.0
24.0;Embajadores;Madrid;Spain;Apartment;Private room;1;1.0;;;2;0;0;0;100.0
22.0;Concepción;Madrid;Spain;Apartment;Private room;2;1.0;;;1;10;0;330;86.0
37.0;Acacias;Madrid;Spain;Apartment;Private room;2;1.0;150.0;15.0;1;15;0;320;90.0
220.0;Inca;Inca;Spain;House;Entire home/apt;8;3.0;200.0;;1;0;1;74;
20.0;Fuente del Berro;Madrid;Spain;Apartment;Private room;1;1.0;300.0;;1;0;0;351;100.0
30.0;Timón;Madrid;Spain;Apartment;Private room;1;1.0;;;1;0;0;66;
260.0;la Font d'en Fargues;Barcelona;Spain;Apartment;Entire home/apt;7;3.0;500.0;45.0;2;15;1;346;
17.0;Justicia;Madrid;Spain;Apartment;Private room;2;2.0;;15.0;1;0;0;309;
139.0;Broadway;Seattle;United States;Apartment;Entire home/apt;5;1.0;;25.0;1;0;0;264;97.0
37.0;Argüelles;Madrid;Spain;Apartment;Private room;1;1.0;200.0;30.0;1;0;0;323;
50.0;Dovercourt-Wallace Emerson-Junction;Toronto;Canada;House;Private room;1;1.0;;;1;0;0;88;100.0
315.0;Cortes;Madrid;Spain;Other;Entire home/apt;16;5.0;350.0;90.0;12;0;0;285;98.0
40.0;Embajadores;Madrid;Spain;House;Private room;2;1.0;;;1;0;0;19;
170.0;Goya;Madrid;Spain;Apartment;Entire home/apt;6;2.0;200.0;60.0;2;10;0;258;
99.0;Universidad;Madrid;Spain;Apartment;Entire home/apt;6;1.0;;25.0;3;12;0;30;100.0
30.0;Casco Histórico de Vallecas;Madrid;Spain;Apartment;Entire home/apt;2;1.0;150.0;25.0;1;0;1;312;88.0
95.0;Sol;Madrid;Spain;Apartment;Entire home/apt;4;1.0;100.0;20.0;1;20;0;359;87.0
18.0;Pacífico;Madrid;Spain;Other;Private room;3;1.0;;10.0;1;8;0;151;80.0
26.0;Palacio;Madrid;Spain;Other;Private room;2;1.0;;5.0;1;10;0;3;94.0
99.0;Almagro;Madrid;Spain;Apartment;Entire home/apt;3;1.0;;;2;15;0;193;
36.0;Goya;Madrid;Spain;Apartment;Private room;2;1.0;;10.0;1;0;0;328;96.0
130.0;Recoletos;Madrid;Spain;Apartment;Entire home/apt;6;2.0;300.0;40.0;4;20;0;188;95.0
32.0;Bellas Vistas;Madrid;Spain;Apartment;Private room;1;1.0;;;1;0;0;365;100.0
50.0;Argüelles;Madrid;Spain;Apartment;Entire home/apt;4;1.0;;;1;0;0;0;70.0
27.0;Valdezarza;Madrid;Spain;Bed & Breakfast;Private room;1;1.0;;;1;0;0;299;93.0
90.0;Pacífico;Madrid;Spain;Apartment;Entire home/apt;3;1.0;;;1;0;0;329;83.0
20.0;Ventas;Madrid;Spain;Apartment;Private room;2;1.0;100.0;;1;10;0;144;88.0
33.0;Fuente del Berro;Madrid;Spain;Apartment;Private room;1;1.0;;15.0;1;0;0;365;
100.0;Cortes;Madrid;Spain;Apartment;Entire home/apt;6;1.0;150.0;60.0;4;0;0;298;98.0
50.0;Palacio;Madrid;Spain;Hostel;Private room;2;0.0;;;1;0;0;175;
42.0;Sol;Madrid;Spain;Apartment;Private room;2;3.0;;;2;15;0;345;88.0
80.0;Gaztambide;Madrid;Spain;Apartment;Entire home/apt;5;3.0;200.0;50.0;1;15;0;0;
59.0;Justicia;Madrid;Spain;Apartment;Private room;2;1.0;;10.0;1;5;0;29;100.0
30.0;Vinateros;Madrid;Spain;Apartment;Private room;3;2.0;;22.0;1;28;0;365;93.0
25.0;Acacias;Madrid;Spain;Apartment;Private room;2;1.0;;10.0;1;0;0;168;93.0
41.0;Almagro;Madrid;Spain;Apartment;Private room;1;1.0;;;1;0;0;88;90.0
36.0;Sol;Madrid;Spain;Apartment;Private room;1;3.0;200.0;30.0;1;0;0;311;
53.0;Sol;Madrid;Spain;Apartment;Entire home/apt;4;1.0;;20.0;4;20;0;306;94.0
58.0;Goya;Madrid;Spain;Loft;Private room;6;2.0;200.0;20.0;3;20;0;143;98.0
135.0;Palacio;Madrid;Spain;Apartment;Entire home/apt;4;1.0;150.0;30.0;2;9;0;229;88.0
45.0;Palacio;Madrid;Spain;House;Private room;3;1.0;;;2;15;0;52;92.0
49.0;Sol;Madrid;Spain;Apartment;Private room;3;1.0;;15.0;2;10;0;68;95.0
79.0;Casco Histórico de Vicálvaro;Madrid;Spain;Apartment;Entire home/apt;4;2.0;;20.0;1;0;0;86;100.0
28.0;Butarque;Madrid;Spain;Apartment;Private room;2;1.0;;15.0;1;0;0;67;
40.0;Embajadores;Madrid;Spain;Apartment;Private room;2;1.0;;;1;15;0;357;92.0
35.0;Embajadores;Madrid;Spain;House;Entire home/apt;4;1.0;150.0;5.0;2;5;0;234;75.0
31.0;Palos de Moguer;Madrid;Spain;Condominium;Private room;2;2.0;94.0;5.0;1;5;0;39;96.0
169.0;Botany Bay;Mascot;Australia;Apartment;Entire home/apt;5;2.5;200.0;50.0;1;0;0;38;
60.0;Puerta del Angel;Madrid;Spain;Loft;Entire home/apt;3;1.0;195.0;35.0;2;22;0;290;94.0
80.0;Universidad;Madrid;Spain;Bed & Breakfast;Private room;4;0.5;;;1;0;0;176;
42.0;Butarque;Madrid;Spain;Apartment;Entire home/apt;2;1.0;;;1;0;0;18;97.0
63.0;Justicia;Madrid;Spain;Apartment;Entire home/apt;4;1.0;200.0;8.0;4;20;0;315;84.0
82.0;Sol;Madrid;Spain;Apartment;Entire home/apt;2;1.0;200.0;32.0;2;11;0;307;96.0
411.0;Sa Pobla;Sa Pobla;Spain;House;Entire home/apt;12;5.5;;;1;0;1;279;88.0
110.0;Universidad;Madrid;Spain;Apartment;Entire home/apt;3;1.0;250.0;15.0;2;5;0;226;99.0
56.0;Los Angeles;Madrid;Spain;Apartment;Private room;1;1.0;;;1;0;0;365;
85.0;Cannaregio;Venice;Italy;Apartment;Entire home/apt;2;1.0;80.0;10.0;1;0;0;51;89.0
30.0;Casco Histórico de Vallecas;Madrid;Spain;Apartment;Private room;2;1.0;;;1;0;0;365;80.0
20.0;Embajadores;Madrid;Spain;Apartment;Private room;1;0.0;;;1;0;0;0;50.0
45.0;Legazpi;Madrid;Spain;Apartment;Private room;2;1.0;90.0;;1;15;0;179;100.0
42.0;Embajadores;Madrid;Spain;Apartment;Entire home/apt;5;1.0;;20.0;3;14;0;260;86.0
48.0;Entrevías;Madrid;Spain;Apartment;Private room;4;1.0;300.0;;2;0;0;161;50.0
40.0;Sol;Madrid;Spain;Apartment;Private room;2;1.0;;;1;0;0;313;85.0
127.0;Universidad;Madrid;Spain;Apartment;Entire home/apt;6;2.0;150.0;37.0;3;10;0;296;
78.0;Sol;Madrid;Spain;Apartment;Entire home/apt;4;1.0;150.0;20.0;4;15;0;312;91.0
25.0;Trafalgar;Madrid;Spain;Apartment;Private room;2;2.0;;;1;0;0;0;
45.0;Palacio;Madrid;Spain;House;Private room;2;2.0;100.0;15.0;2;10;0;173;91.0
32.0;Universidad;Madrid;Spain;Apartment;Private room;2;1.0;;;1;0;0;0;97.0
45.0;Casa de Campo;Madrid;Spain;Apartment;Entire home/apt;5;1.0;100.0;40.0;1;30;0;166;85.0
25.0;el Poble Sec;Barcelona;Spain;Apartment;Private room;2;1.0;;;1;10;0;15;99.0
70.0;Valverde;Madrid;Spain;Apartment;Entire home/apt;4;2.0;200.0;40.0;4;10;0;0;
16.0;Ventas;Madrid;Spain;Apartment;Private room;1;1.0;;;1;0;0;152;100.0
75.0;Palacio;Madrid;Spain;Apartment;Entire home/apt;3;1.0;100.0;25.0;2;12;0;323;84.0
29.0;Bellas Vistas;Madrid;Spain;Bed & Breakfast;Private room;2;1.0;;;1;12;0;319;96.0
100.0;Pacífico;Madrid;Spain;House;Entire home/apt;3;1.0;100.0;30.0;1;0;0;84;96.0
50.0;Embajadores;Madrid;Spain;Apartment;Entire home/apt;2;1.0;200.0;25.0;1;20;0;191;93.0
45.0;Casco Histórico de Vicálvaro;Madrid;Spain;Apartment;Entire home/apt;5;1.0;100.0;40.0;4;15;0;283;
25.0;ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ;Athens;Greece;Apartment;Entire home/apt;2;1.0;70.0;;1;0;0;94;92.0
24.0;Opañel;Madrid;Spain;Apartment;Private room;2;1.0;;;1;0;0;105;96.0
100.0;Embajadores;Madrid;Spain;Apartment;Entire home/apt;4;1.0;300.0;40.0;4;15;0;277;98.0
25.0;Casco Histórico de Barajas;Madrid;Spain;Apartment;Private room;2;1.0;;;1;7;0;281;94.0
83.0;Hostafrancs;Barcelona;Spain;Apartment;Entire home/apt;4;1.0;;;1;0;0;2;90.0
27.0;Embajadores;Madrid;Spain;Apartment;Private room;2;1.0;;;2;10;0;15;86.0
100.0;Palacio;Madrid;Spain;Apartment;Entire home/apt;6;1.0;;20.0;7;15;0;140;94.0
50.0;Lucero;Madrid;Spain;Dorm;Private room;2;1.0;;;1;0;0;365;
150.0;Ibiza;Madrid;Spain;Apartment;Entire home/apt;6;2.0;150.0;40.0;1;10;0;141;70.0
29.0;Almendrales;Madrid;Spain;Apartment;Private room;2;1.0;;;1;5;0;342;93.0
160.0;Giudecca;Venezia;Italy;Apartment;Entire home/apt;5;1.0;;20.0;2;25;0;334;100.0
17.0;Comillas;Madrid;Spain;Loft;Private room;2;1.0;100.0;10.0;1;15;0;172;97.0
65.0;Justicia;Madrid;Spain;Loft;Entire home/apt;3;1.0;150.0;30.0;2;20;0;296;99.0
338.0;Vista Alegre;Madrid;Spain;Apartment;Entire home/apt;16;2.0;300.0;50.0;1;0;0;63;
116.0;Sant Pere, Santa Caterina i la Ribera;Barcelona;Spain;Apartment;Entire home/apt;4;1.0;;;1;0;0;0;80.0
29.0;Cortes;Madrid;Spain;Apartment;Private room;1;3.0;200.0;30.0;1;0;0;311;
105.0;Cortes;Madrid;Spain;Condominium;Entire home/apt;6;2.0;200.0;39.0;4;16;0;263;94.0
80.0;Almagro;Madrid;Spain;Apartment;Entire home/apt;3;1.0;;50.0;1;0;0;342;67.0
78.0;Argüelles;Madrid;Spain;Apartment;Entire home/apt;7;1.0;;;1;0;0;0;
55.0;Atocha;Madrid;Spain;House;Private room;1;2.0;;;1;0;0;346;98.0
11.0;Argüelles;Madrid;Spain;Apartment;Shared room;10;1.0;;;1;15;0;365;
55.0;Embajadores;Madrid;Spain;Apartment;Entire home/apt;4;1.0;150.0;20.0;2;10;0;163;100.0
70.0;Recoletos;Madrid;Spain;Apartment;Entire home/apt;2;1.0;300.0;10.0;1;0;0;309;80.0
20.0;Rios Rosas;Madrid;Spain;Loft;Private room;1;1.5;150.0;15.0;1;0;0;0;
16.0;Prosperidad;Madrid;Spain;Apartment;Private room;1;1.0;;;1;10;0;67;100.0
35.0;Palacio;Madrid;Spain;Apartment;Shared room;3;1.0;;;1;20;0;19;97.0
50.0;Cortes;Madrid;Spain;Apartment;Entire home/apt;2;1.0;;35.0;1;0;0;144;94.0
90.0;Sol;Madrid;Spain;Apartment;Entire home/apt;4;1.0;;25.0;2;10;0;308;99.0
28.0;Universidad;Madrid;Spain;Apartment;Private room;2;1.0;;20.0;1;0;0;0;100.0
70.0;Rios Rosas;Madrid;Spain;Apartment;Entire home/apt;3;1.5;;20.0;1;10;0;0;100.0
55.0;Portazgo;Madrid;Spain;Apartment;Entire home/apt;3;1.0;;25.0;1;0;0;22;
125.0;Ventas;Madrid;Spain;Apartment;Entire home/apt;4;2.0;400.0;;1;0;0;0;
10.0;Vista Alegre;Madrid;Spain;Apartment;Shared room;1;1.0;;5.0;1;0;0;63;93.0
85.0;Embajadores;Madrid;Spain;House;Entire home/apt;4;1.0;150.0;;3;10;0;316;90.0
125.0;Canillejas;Madrid;Spain;House;Entire home/apt;6;2.5;200.0;60.0;4;20;0;75;100.0
110.0;Palos de Moguer;Madrid;Spain;Apartment;Entire home/apt;3;1.0;;40.0;1;0;0;352;
36.0;Sol;Madrid;Spain;Apartment;Private room;3;1.0;;12.0;2;10;0;238;99.0
70.0;Delicias;Madrid;Spain;Condominium;Entire home/apt;2;1.0;;;2;15;0;316;100.0
20.0;Lucero;Madrid;Spain;Apartment;Private room;2;1.0;;10.0;1;7;0;353;
20.0;Almendrales;Madrid;Spain;Apartment;Private room;2;1.0;;;1;0;0;283;77.0
48.0;Sol;Madrid;Spain;Apartment;Private room;3;1.0;;8.0;1;15;0;11;97.0
25.0;Almagro;Madrid;Spain;Apartment;Private room;1;1.0;;6.0;1;0;0;92;100.0
70.0;Lista;Madrid;Spain;Apartment;Entire home/apt;2;1.0;150.0;45.0;1;0;0;332;90.0
70.0;Universidad;Madrid;Spain;Apartment;Entire home/apt;4;1.0;200.0;30.0;2;15;0;247;97.0
95.0;Jerónimos;Madrid;Spain;Apartment;Entire home/apt;4;2.0;100.0;30.0;2;15;0;320;91.0
26.0;Embajadores;Madrid;Spain;Apartment;Private room;1;1.0;200.0;;1;0;0;364;
92.0;Commune de Genève;Genève;Switzerland;Apartment;Entire home/apt;3;1.0;;33.0;1;0;0;19;100.0
70.0;Hispanoamérica;Madrid;Spain;House;Private room;2;2.0;;;1;0;1;0;
100.0;Palacio;Madrid;Spain;Apartment;Entire home/apt;6;2.0;;30.0;4;21;0;264;96.0
24.0;Opañel;Madrid;Spain;Apartment;Private room;4;1.0;;5.0;1;10;0;350;93.0
19.0;Palacio;Madrid;Spain;Apartment;Private room;2;1.0;100.0;5.0;1;5;0;4;90.0
92.0;Wieden;Wien;Austria;Loft;Entire home/apt;7;1.0;;39.0;2;10;0;259;90.0
60.0;Tower Hamlets;London;United Kingdom;House;Entire home/apt;5;1.0;150.0;15.0;1;0;0;6;93.0
250.0;II Parioli/Nomentano;Roma;Italy;Apartment;Entire home/apt;2;1.0;300.0;;2;25;1;36;98.0
54.0;I Centro Storico;Rome;Italy;Bed & Breakfast;Private room;2;0.5;;;1;20;0;142;96.0
23.0;Embajadores;Madrid;Spain;Apartment;Private room;2;1.0;;5.0;1;10;0;42;90.0
16.0;San Andrés;Madrid;Spain;Apartment;Private room;2;1.0;;10.0;1;10;0;359;93.0
48.0;Popincourt;Paris;France;Apartment;Private room;2;1.0;200.0;;1;25;0;323;
25.0;Aravaca;Pozuelo de Alarcón;Spain;Apartment;Private room;1;1.0;;;1;0;0;128;
22.0;Chopera;Madrid;Spain;Apartment;Private room;1;1.0;;;1;20;0;358;100.0
34.0;Justicia;Madrid;Spain;Apartment;Private room;2;1.0;;;1;20;0;306;97.0
33.0;Sol;Madrid;Spain;Apartment;Private room;2;5.0;200.0;;1;0;0;10;
95.0;Lista;Madrid;Spain;Apartment;Entire home/apt;4;1.0;;20.0;1;0;0;239;98.0
88.0;Embajadores;Madrid;Spain;Apartment;Entire home/apt;5;1.0;100.0;25.0;1;0;0;301;90.0
43.0;Trafalgar;Madrid;Spain;Apartment;Entire home/apt;2;1.0;100.0;10.0;1;0;0;14;88.0
50.0;Universidad;Madrid;Spain;Apartment;Entire home/apt;2;1.0;;;1;0;0;0;
29.0;Gaztambide;Madrid;Spain;Apartment;Private room;2;1.0;;;2;8;0;0;93.0
80.0;Lista;Madrid;Spain;Bed & Breakfast;Private room;2;2.0;;;1;0;0;358;
50.0;Arapiles;Madrid;Spain;House;Private room;1;1.0;;;1;0;0;0;
65.0;Palma de Mallorca;Palma;Spain;Apartment;Entire home/apt;4;1.0;100.0;95.0;1;0;0;325;88.0
40.0;Embajadores;Madrid;Spain;House;Entire home/apt;4;1.0;200.0;20.0;2;15;0;350;82.0
475.0;Cortes;Madrid;Spain;Apartment;Entire home/apt;16;3.0;250.0;60.0;7;5;0;272;
70.0;Hackney;London;United Kingdom;Apartment;Private room;2;1.5;;;1;15;0;0;100.0
60.0;Universidad;Madrid;Spain;Loft;Entire home/apt;4;1.0;;25.0;2;15;0;134;100.0
69.0;Prosperidad;Madrid;Spain;Apartment;Private room;2;1.0;;20.0;1;0;0;90;
25.0;Palacio;Madrid;Spain;Apartment;Private room;2;2.0;;15.0;1;5;0;281;80.0
25.0;Numancia;Madrid;Spain;Apartment;Private room;2;1.0;100.0;;2;6;0;0;
50.0;Acacias;Madrid;Spain;Apartment;Private room;2;1.0;;;1;0;0;0;98.0
59.0;San Isidro;Madrid;Spain;Apartment;Entire home/apt;2;1.0;;20.0;1;0;0;54;96.0
68.0;Palacio;Madrid;Spain;Apartment;Entire home/apt;4;1.0;170.0;24.0;2;8;0;298;90.0
50.0;Buttes-Montmartre;Paris;France;Apartment;Entire home/apt;4;1.0;;25.0;2;5;0;0;90.0
66.0;Cortes;Madrid;Spain;Apartment;Entire home/apt;4;1.0;;;2;7;0;342;95.0
190.0;Embajadores;Madrid;Spain;Apartment;Entire home/apt;9;3.0;300.0;40.0;4;20;0;312;99.0
55.0;Cuatro Caminos;Madrid;Spain;Apartment;Entire home/apt;4;1.0;100.0;;2;5;0;310;94.0
328.0;Alcúdia;Alcúdia;Spain;House;Entire home/apt;8;3.0;200.0;;1;0;1;108;
55.0;Embajadores;Madrid;Spain;Apartment;Entire home/apt;4;1.0;100.0;25.0;2;16;0;338;84.0
37.0;Palos de Moguer;Madrid;Spain;Loft;Entire home/apt;3;1.0;100.0;10.0;1;10;0;217;92.0
88.0;Westminster;London;United Kingdom;Apartment;Private room;2;1.0;;;1;0;0;0;
24.0;Palos de Moguer;Madrid;Spain;Apartment;Private room;2;1.0;;;1;10;0;329;100.0
